strain	submitting_lab	originating_lab	virus	segment
A/HongKong/434/1996	other_database_import		h3n2	ha
A/HongKong/42/1996	other_database_import		h3n2	ha
A/Netherlands/1/1995	other_database_import		h3n2	ha
A/SouthAustralia/1/1995	who_collaborating_centre_for_reference_and_research_on_influenza	institute_of_medical_and_veterinary_science_(imvs)	h3n2	ha
A/Nagasaki/48/1995	other_database_import		h3n2	ha
A/Nagasaki/97/1995	other_database_import		h3n2	ha
A/HongKong/3/1995	other_database_import		h3n2	ha
A/Finland/338/1995	other_database_import		h3n2	ha
A/NewYork/625/1996	other_database_import		h3n2	ha
A/Memphis/24/1995	other_database_import		h3n2	ha
A/Malaysia/7832/1995	other_database_import		h3n2	ha
A/Malaysia/7145/1995	other_database_import		h3n2	ha
A/HongKong/49/1995	other_database_import		h3n2	ha
A/Netherlands/178/1995	other_database_import	national_institute_for_public_health_and_the_environment_(rivm)	h3n2	ha
A/Vienna/47/1996	other_database_import		h3n2	ha
A/Netherlands/271/1995	other_database_import		h3n2	ha
A/Finland/381/1995	other_database_import		h3n2	ha
A/Finland/339/1995	other_database_import		h3n2	ha
A/Lyon/2279/1995	other_database_import		h3n2	ha
A/NewYork/606/1995	other_database_import		h3n2	ha
A/NewYork/619/1996	other_database_import		h3n2	ha
A/NewYork/637/1996	other_database_import		h3n2	ha
A/NewYork/647/1995	other_database_import		h3n2	ha
A/NewYork/648/1995	other_database_import		h3n2	ha
A/NewYork/622/1996	other_database_import		h3n2	ha
A/NewYork/609/1995	other_database_import		h3n2	ha
A/NewYork/610/1995	other_database_import		h3n2	ha
A/Victoria/75/1995	other_database_import		h3n2	ha
A/NewYork/639/1995	other_database_import		h3n2	ha
A/NewYork/634/1995	other_database_import		h3n2	ha
A/Netherlands/91/1996	other_database_import		h3n2	ha
A/NewYork/636/1996	other_database_import		h3n2	ha
A/NewYork/635/1996	other_database_import		h3n2	ha
A/NewYork/641/1996	other_database_import		h3n2	ha
A/NewYork/628/1995	other_database_import		h3n2	ha
A/NewYork/611/1995	other_database_import		h3n2	ha
A/NewYork/613/1996	other_database_import		h3n2	ha
A/NewYork/612/1995	other_database_import		h3n2	ha
A/NewYork/623/1995	other_database_import		h3n2	ha
