virus	gene	mut_type	rate	rate_per_nt	r2
h1n1pdm	ha	syn	4.469656542059337	0.0026323065618724007	0.9791024253095152
h1n1pdm	ha	nonsyn	2.4085682915033035	0.0014184736699077171	0.9531138759945788
h1n1pdm	na	syn	2.4423599882126052	0.001732170204406103	0.9493963534770564
h1n1pdm	na	nonsyn	2.179167838557739	0.0015455091053600985	0.9702665754359358
h1n1pdm	m1	syn	1.2515588852155526	0.0016489576880310312	0.87845079280223
h1n1pdm	m1	nonsyn	0.37765346577890446	0.0004975671485888069	0.8525171018463901
h1n1pdm	np	syn	3.145846325846963	0.002101433751400777	0.9647937416589247
h1n1pdm	np	nonsyn	0.5507495820826346	0.00036790219243996964	0.8151505915401791
h1n1pdm	ns1	syn	0.9164437254468469	0.0013885510991618892	0.7098388420800096
h1n1pdm	ns1	nonsyn	0.6370562765165183	0.0009652367826007854	0.8783781866568258
h1n1pdm	pa	syn	4.176702697290967	0.0019417492781454984	0.9619104957831937
h1n1pdm	pa	nonsyn	1.0647074286300884	0.0004949825330683814	0.8274583256246174
h1n1pdm	pb1	syn	4.174913648709964	0.0018359338824582075	0.961867464666625
h1n1pdm	pb1	nonsyn	0.3503277475873186	0.00015405793649398355	0.6487395727671702
h1n1pdm	pb2	syn	5.045123769151124	0.0022127735829610196	0.9834132338516525
h1n1pdm	pb2	nonsyn	0.9876477037297616	0.00043317881742533406	0.8993039247804903
h3n2	ha	syn	4.050440869549491	0.0023854186510892175	0.9920915011510495
h3n2	ha	nonsyn	3.2538202595688435	0.001916266348391545	0.9912847838371416
h3n2	na	syn	2.302563287225799	0.0016330236079615595	0.9747556399608065
h3n2	na	nonsyn	2.0090064016209856	0.0014248272351921885	0.9833455063793599
h3n2	m1	syn	0.8263481551457504	0.0010887327472276027	0.9499631770832473
h3n2	m1	nonsyn	0.14453402308574903	0.00019042690788636236	0.673877751255821
h3n2	np	syn	2.1637020448471103	0.0014453587473928593	0.981493534584721
h3n2	np	nonsyn	0.570213128369498	0.00038090389336639815	0.8927749386130276
h3n2	ns1	syn	0.4171442530449719	0.0006019397590836535	0.8951555589883258
